Brand,Title,Year,Fuel
ford,Ford Transit,2023,diesel
ford,Ford Tourneo Connect 2.0 EcoBlue Active,2023,diesel
maserati,Maserati Ghibli S Q4,2016,petrol
ford,Ford Transit Connect,2023,diesel
ford,Ford Tourneo Connect Grand 2.0 EcoBlue Active,2023,diesel
audi,Audi A4 1.8T Quattro,2004,petrol
volkswagen,Volkswagen Polo 1.4 16V Comfortline,2013,petrol
skoda,Skoda Octavia 2.0 TDI Ambition,2013,diesel
skoda,Skoda Octavia 1.6 TDI SCR Style,2019,diesel
skoda,Skoda Superb 2.0 TDI Active,2019,diesel
peugeot,Peugeot 3008 1.2 PureTech Allure Pack S&S EAT8,2022,petrol
audi,Audi A3 1.6 TDI Sportback S tronic,2015,diesel
jaguar,Jaguar I-Pace EV400 AWD R-Dynamic SE,2023,electric
bmw,BMW Seria 3 ActiveHybrid,2012,hybrid
volkswagen,Volkswagen Golf V 1.6 Trendline,2006,petrol
renault,Renault Modus,2005,petrol
audi,Audi Q8 50 TDI mHEV Quattro Black Edition Tiptronic,2018,diesel
opel,Opel Mokka,2023,petrol
opel,Opel Mokka 1.2 T Elegance S&S,2023,petrol
nissan,Nissan Almera II 1.8 Comfort High,2002,petrol
nissan,Nissan Qashqai 1.3 DIG-T Tekna DCT,2019,petrol
volkswagen,Volkswagen Passat Variant 2.0 TDI SCR DSG (BlueM Tech) Highline,2017,diesel
toyota,Toyota RAV4,2016,petrol
ford,Ford Fiesta,2014,diesel
skoda,Skoda Superb 2.0 TDI 4x4 L&K DSG,2017,diesel
volkswagen,Volkswagen Tiguan 2.0 TSI 4Mot R-Line DSG,2023,petrol
citroen,Citro\u00EBn C4 Grand Picasso 1.6 THP Exclusive,2014,petrol
volkswagen,Volkswagen Tiguan 2.0 TSI 4Mot R-Line DSG,2023,petrol
citroen,Citro\u00EBn C4,2023,petrol
volkswagen,Volkswagen T-Roc 1.5 TSI Style DSG,2023,petrol
citroen,Citro\u00EBn C4 1.2 PureTech Feel Pack S&S,2023,petrol
volkswagen,Volkswagen Golf VIII 1.5 eTSI EVO Life DSG,2023,petrol
ford,Ford Kuga 1.6 EcoBoost FWD Titanium ASS,2014,petrol
audi,Audi A6 50 TDI mHEV Quattro Sport Tiptronic,2018,diesel
bmw,BMW Seria 3 318d DPF Touring,2013,diesel
ford,Ford S-Max 2.0 TDCi Titanium,2016,diesel
kia,Kia Sportage,2013,petrol
volvo,Volvo V40 D3 R-Design Kinetic,2013,diesel
lexus,Lexus NX 200t Elite AWD,2017,petrol
volkswagen,Volkswagen Tiguan 2.0 TDI SCR 4Mot Life DSG,2023,diesel
volkswagen,Volkswagen Passat 2.0 TSI Elegance DSG,2023,petrol
mercedes,Mercedes-Benz CLA,2022,petrol
mercedes,Mercedes-Benz GLC,2020,petrol
nissan,Nissan Townstar 1.3 DIG-T Business,2023,petrol
volkswagen,Volkswagen Golf VIII 1.5 eTSI EVO Style DSG,2023,petrol
citroen,Citro\u00EBn C3,2022,petrol
mercedes,Mercedes-Benz Klasa S,2018,diesel
opel,Opel Astra,2018,petrol
nissan,Nissan Micra,2022,petrol
fiat,Fiat Tipo,2021,petrol
volkswagen,Volkswagen Golf VIII 1.5 eTSI EVO Style DSG,2023,petrol
